policy_name,coverage_term,annual_premium,provider,sum_assured,critical_illness,type,age_until,gender,smoker,age,most_notable_5,market_share_top,local_companies,provide_ci,provide_hospital_ins,entered_sg
Direct-LICS New Secure Future Term Plan,29,226,LIC (Singapore) Pte Ltd,200000,0,term,65,f,0,36,0,0,0,0,0,2013
DIRECT - AIA Term Cover,30,232,AIA Singapore,200000,0,term,65,f,0,36,1,1,0,1,1,1931
DIRECT- ManuAssure Term,30,254,Manulife (Singapore) Pte. Ltd.,200000,0,term,65,f,0,36,1,1,0,1,0,1899
DIRECT - Singlife Term Life,29,254,Singapore Life Ltd.,200000,0,term,65,f,0,36,0,1,1,1,1,2022
DIRECT - HSBC Life - Term Lite,30,322,HSBC Life (Singapore) Pte. Ltd.,200000,0,term,65,m,1,36,0,1,0,1,1,2022
DIRECT- TM Basic Term (Level),29,325,Tokio Marine Life Insurance Singapore Ltd,200000,0,term,65,m,1,36,0,0,0,1,0,1923
DIRECT - Etiqa term life,29,330,Etiqa Insurance Pte. Ltd.,200000,0,term,65,m,1,36,0,0,0,1,0,2007
DIRECT - China Life Term Plan,29,386,China Life Insurance (Singapore) Pte. Ltd.,200000,0,term,65,m,1,36,0,0,0,1,0,2015
DIRECT - Great Term,29,392,Great Eastern Life,200000,0,term,65,m,1,36,1,1,1,1,1,1908
Direct-LICS New Secure Future Term Plan,29,393,LIC (Singapore) Pte Ltd,200000,0,term,65,m,1,36,0,0,0,0,0,2013
DIRECT Star Term (non-renewable),29,421,Income Insurance Limited,200000,0,term,65,m,1,36,1,1,1,1,1,1970
DIRECT - Term Life,29,458,FWD SINGAPORE PTE. LTD.,200000,0,term,65,m,1,36,0,0,0,1,0,2016
DIRECT - Singlife Term Life,29,468,Singapore Life Ltd.,200000,0,term,65,m,1,36,0,1,1,1,1,2022
DIRECT - Term,29,491,China Taiping Insurance (Singapore) Pte. Ltd.,200000,0,term,65,m,1,36,0,0,0,1,0,2003
DIRECT - PRUprotect term @ 65,29,514,Prudential Assurance Company Singapore (Pte) Limited,200000,0,term,65,m,1,36,1,1,0,1,1,1931
DIRECT- ManuAssure Term,30,544,Manulife (Singapore) Pte. Ltd.,200000,0,term,65,m,1,36,1,1,0,1,0,1899
DIRECT - AIA Term Cover,30,610,AIA Singapore,200000,0,term,65,m,1,36,1,1,0,1,1,1931
DIRECT - HSBC Life - Term Lite,30,206,HSBC Life (Singapore) Pte. Ltd.,200000,0,term,65,f,1,36,0,1,0,1,1,2022
DIRECT- TM Basic Term (Level),29,262,Tokio Marine Life Insurance Singapore Ltd,200000,0,term,65,f,1,36,0,0,0,1,0,1923
DIRECT - China Life Term Plan,29,280,China Life Insurance (Singapore) Pte. Ltd.,200000,0,term,65,f,1,36,0,0,0,1,0,2015
DIRECT - Etiqa term life,29,280,Etiqa Insurance Pte. Ltd.,200000,0,term,65,f,1,36,0,0,0,1,0,2007
DIRECT - Term Life,29,282,FWD SINGAPORE PTE. LTD.,200000,0,term,65,f,1,36,0,0,0,1,0,2016
DIRECT - Great Term,29,290,Great Eastern Life,200000,0,term,65,f,1,36,1,1,1,1,1,1908
Direct-LICS New Secure Future Term Plan,29,307,LIC (Singapore) Pte Ltd,200000,0,term,65,f,1,36,0,0,0,0,0,2013
DIRECT Star Term (non-renewable),29,316,Income Insurance Limited,200000,0,term,65,f,1,36,1,1,1,1,1,1970
DIRECT - Singlife Term Life,29,326,Singapore Life Ltd.,200000,0,term,65,f,1,36,0,1,1,1,1,2022
DIRECT - AIA Term Cover,30,354,AIA Singapore,200000,0,term,65,f,1,36,1,1,0,1,1,1931
DIRECT- ManuAssure Term,30,360,Manulife (Singapore) Pte. Ltd.,200000,0,term,65,f,1,36,1,1,0,1,0,1899
DIRECT - PRUprotect term @ 65,29,368,Prudential Assurance Company Singapore (Pte) Limited,200000,0,term,65,f,1,36,1,1,0,1,1,1931
DIRECT - Term,29,397,China Taiping Insurance (Singapore) Pte. Ltd.,200000,0,term,65,f,1,36,0,0,0,1,0,2003
DIRECT - Etiqa term life with CI,29,516,Etiqa Insurance Pte. Ltd.,200000,1,term,65,m,0,36,0,0,0,1,0,2007
DIRECT - HSBC Life - Term Lite and Termcare,30,549,HSBC Life (Singapore) Pte. Ltd.,200000,1,term,65,m,0,36,0,1,0,1,1,2022
DIRECT - Great Term with Optional DIRECT - Great Critical Care,29,583,Great Eastern Life,200000,1,term,65,m,0,36,1,1,1,1,1,1908
DIRECT- TM Basic Term (Level) (+ Critical Illness),29,592,Tokio Marine Life Insurance Singapore Ltd,200000,1,term,65,m,0,36,0,0,0,1,0,1923
DIRECT - Term,29,624,China Taiping Insurance (Singapore) Pte. Ltd.,200000,1,term,65,m,0,36,0,0,0,1,0,2003
DIRECT - Term Life,29,668,FWD SINGAPORE PTE. LTD.,200000,1,term,65,m,0,36,0,0,0,1,0,2016
DIRECT- ManuAssure Term (with CI),30,685,Manulife (Singapore) Pte. Ltd.,200000,1,term,65,m,0,36,1,1,0,1,0,1899
DIRECT Star Term (non-renewable),29,693,Income Insurance Limited,200000,1,term,65,m,0,36,1,1,1,1,1,1970
DIRECT - China Life Term Plan,29,710,China Life Insurance (Singapore) Pte. Ltd.,200000,1,term,65,m,0,36,0,0,0,1,0,2015
DIRECT - Singlife Term Life,29,718,Singapore Life Ltd.,200000,1,term,65,m,0,36,0,1,1,1,1,2022
DIRECT - PRUprotect term @ 65,29,816,Prudential Assurance Company Singapore (Pte) Limited,200000,1,term,65,m,0,36,1,1,0,1,1,1931
DIRECT - AIA Term Cover,30,922,AIA Singapore,200000,1,term,65,m,0,36,1,1,0,1,1,1931
DIRECT - HSBC Life - Term Lite and Termcare,30,524,HSBC Life (Singapore) Pte. Ltd.,200000,1,term,65,f,0,36,0,1,0,1,1,2022
DIRECT- TM Basic Term (Level) (+ Critical Illness),29,585,Tokio Marine Life Insurance Singapore Ltd,200000,1,term,65,f,0,36,0,0,0,1,0,1923
DIRECT - Term Life,29,602,FWD SINGAPORE PTE. LTD.,200000,1,term,65,f,0,36,0,0,0,1,0,2016
DIRECT - Etiqa term life with CI,29,620,Etiqa Insurance Pte. Ltd.,200000,1,term,65,f,0,36,0,0,0,1,0,2007
DIRECT - Singlife Term Life,29,626,Singapore Life Ltd.,200000,1,term,65,f,0,36,0,1,1,1,1,2022
DIRECT - Great Term with Optional DIRECT - Great Critical Care,29,628,Great Eastern Life,200000,1,term,65,f,0,36,1,1,1,1,1,1908
DIRECT - Term,29,640,China Taiping Insurance (Singapore) Pte. Ltd.,200000,1,term,65,f,0,36,0,0,0,1,0,2003
DIRECT - China Life Term Plan,29,690,China Life Insurance (Singapore) Pte. Ltd.,200000,1,term,65,f,0,36,0,0,0,1,0,2015
DIRECT- ManuAssure Term (with CI),30,696,Manulife (Singapore) Pte. Ltd.,200000,1,term,65,f,0,36,1,1,0,1,0,1899
DIRECT Star Term (non-renewable),29,783,Income Insurance Limited,200000,1,term,65,f,0,36,1,1,1,1,1,1970
DIRECT - AIA Term Cover,30,888,AIA Singapore,200000,1,term,65,f,0,36,1,1,0,1,1,1931
DIRECT - PRUprotect term @ 65,29,892,Prudential Assurance Company Singapore (Pte) Limited,200000,1,term,65,f,0,36,1,1,0,1,1,1931
DIRECT - HSBC Life - Term Lite and Termcare,30,822,HSBC Life (Singapore) Pte. Ltd.,200000,1,term,65,m,1,36,0,1,0,1,1,2022
DIRECT - Etiqa term life with CI,29,838,Etiqa Insurance Pte. Ltd.,200000,1,term,65,m,1,36,0,0,0,1,0,2007
DIRECT - Great Term with Optional DIRECT - Great Critical Care,29,904,Great Eastern Life,200000,1,term,65,m,1,36,1,1,1,1,1,1908
DIRECT- TM Basic Term (Level) (+ Critical Illness),29,971,Tokio Marine Life Insurance Singapore Ltd,200000,1,term,65,m,1,36,0,0,0,1,0,1923
DIRECT - China Life Term Plan,29,1068,China Life Insurance (Singapore) Pte. Ltd.,200000,1,term,65,m,1,36,0,0,0,1,0,2015
DIRECT - Term Life,29,1080,FWD SINGAPORE PTE. LTD.,200000,1,term,65,m,1,36,0,0,0,1,0,2016
DIRECT - Singlife Term Life,29,1105,Singapore Life Ltd.,200000,1,term,65,m,1,36,0,1,1,1,1,2022
DIRECT- ManuAssure Term (with CI),30,1255,Manulife (Singapore) Pte. Ltd.,200000,1,term,65,m,1,36,1,1,0,1,0,1899
DIRECT - Term,29,1258,China Taiping Insurance (Singapore) Pte. Ltd.,200000,1,term,65,m,1,36,0,0,0,1,0,2003
DIRECT - PRUprotect term @ 65,29,1258,Prudential Assurance Company Singapore (Pte) Limited,200000,1,term,65,m,1,36,1,1,0,1,1,1931
DIRECT Star Term (non-renewable),29,1279,Income Insurance Limited,200000,1,term,65,m,1,36,1,1,1,1,1,1970
DIRECT - AIA Term Cover,30,1482,AIA Singapore,200000,1,term,65,m,1,36,1,1,0,1,1,1931
DIRECT - HSBC Life - Term Lite and Termcare,30,770,HSBC Life (Singapore) Pte. Ltd.,200000,1,term,65,f,1,36,0,1,0,1,1,2022
DIRECT - Singlife Term Life,29,820,Singapore Life Ltd.,200000,1,term,65,f,1,36,0,1,1,1,1,2022
DIRECT - Term Life,29,840,FWD SINGAPORE PTE. LTD.,200000,1,term,65,f,1,36,0,0,0,1,0,2016
DIRECT - Etiqa term life with CI,29,892,Etiqa Insurance Pte. Ltd.,200000,1,term,65,f,1,36,0,0,0,1,0,2007
DIRECT - Great Term with Optional DIRECT - Great Critical Care,29,892,Great Eastern Life,200000,1,term,65,f,1,36,1,1,1,1,1,1908
DIRECT- TM Basic Term (Level) (+ Critical Illness),29,928,Tokio Marine Life Insurance Singapore Ltd,200000,1,term,65,f,1,36,0,0,0,1,0,1923
DIRECT - China Life Term Plan,29,1076,China Life Insurance (Singapore) Pte. Ltd.,200000,1,term,65,f,1,36,0,0,0,1,0,2015
DIRECT- ManuAssure Term (with CI),30,1127,Manulife (Singapore) Pte. Ltd.,200000,1,term,65,f,1,36,1,1,0,1,0,1899
DIRECT - Term,29,1331,China Taiping Insurance (Singapore) Pte. Ltd.,200000,1,term,65,f,1,36,0,0,0,1,0,2003
DIRECT - AIA Term Cover,30,1338,AIA Singapore,200000,1,term,65,f,1,36,1,1,0,1,1,1931
DIRECT - PRUprotect term @ 65,29,1358,Prudential Assurance Company Singapore (Pte) Limited,200000,1,term,65,f,1,36,1,1,0,1,1,1931
DIRECT Star Term (non-renewable),29,1488,Income Insurance Limited,200000,1,term,65,f,1,36,1,1,1,1,1,1970
DIRECT - Etiqa term life,29,252,Etiqa Insurance Pte. Ltd.,300000,0,term,65,m,0,36,0,0,0,1,0,2007
DIRECT- TM Basic Term (Level),29,252,Tokio Marine Life Insurance Singapore Ltd,300000,0,term,65,m,0,36,0,0,0,1,0,1923
DIRECT Star Term (non-renewable),29,313,Income Insurance Limited,300000,0,term,65,m,0,36,1,1,1,1,1,1970
DIRECT - Term,29,335,China Taiping Insurance (Singapore) Pte. Ltd.,300000,0,term,65,m,0,36,0,0,0,1,0,2003
DIRECT - HSBC Life - Term Lite,30,340,HSBC Life (Singapore) Pte. Ltd.,300000,0,term,65,m,0,36,0,1,0,1,1,2022
DIRECT - China Life Term Plan,29,348,China Life Insurance (Singapore) Pte. Ltd.,300000,0,term,65,m,0,36,0,0,0,1,0,2015
DIRECT - Term Life,29,354,FWD SINGAPORE PTE. LTD.,300000,0,term,65,m,0,36,0,0,0,1,0,2016
DIRECT- ManuAssure Term,30,407,Manulife (Singapore) Pte. Ltd.,300000,0,term,65,m,0,36,1,1,0,1,0,1899
DIRECT - Great Term,29,413,Great Eastern Life,300000,0,term,65,m,0,36,1,1,1,1,1,1908
Direct-LICS New Secure Future Term Plan,29,459,LIC (Singapore) Pte Ltd,300000,0,term,65,m,0,36,0,0,0,0,0,2013
DIRECT - Singlife Term Life,29,461,Singapore Life Ltd.,300000,0,term,65,m,0,36,0,1,1,1,1,2022
DIRECT - PRUprotect term @ 65,29,462,Prudential Assurance Company Singapore (Pte) Limited,300000,0,term,65,m,0,36,1,1,0,1,1,1931
DIRECT - AIA Term Cover,30,510,AIA Singapore,300000,0,term,65,m,0,36,1,1,0,1,1,1931
DIRECT - Etiqa term life,29,207,Etiqa Insurance Pte. Ltd.,300000,0,term,65,f,0,36,0,0,0,1,0,2007
DIRECT- TM Basic Term (Level),29,213,Tokio Marine Life Insurance Singapore Ltd,300000,0,term,65,f,0,36,0,0,0,1,0,1923
DIRECT Star Term (non-renewable),29,223,Income Insurance Limited,300000,0,term,65,f,0,36,1,1,1,1,1,1970
DIRECT - HSBC Life - Term Lite,30,239,HSBC Life (Singapore) Pte. Ltd.,300000,0,term,65,f,0,36,0,1,0,1,1,2022
DIRECT - Term,29,245,China Taiping Insurance (Singapore) Pte. Ltd.,300000,0,term,65,f,0,36,0,0,0,1,0,2003
DIRECT - China Life Term Plan,29,249,China Life Insurance (Singapore) Pte. Ltd.,300000,0,term,65,f,0,36,0,0,0,1,0,2015
DIRECT - Term Life,29,270,FWD SINGAPORE PTE. LTD.,300000,0,term,65,f,0,36,0,0,0,1,0,2016
DIRECT - Great Term,29,308,Great Eastern Life,300000,0,term,65,f,0,36,1,1,1,1,1,1908
DIRECT- ManuAssure Term,30,308,Manulife (Singapore) Pte. Ltd.,300000,0,term,65,f,0,36,1,1,0,1,0,1899
DIRECT - PRUprotect term @ 65,29,336,Prudential Assurance Company Singapore (Pte) Limited,300000,0,term,65,f,0,36,1,1,0,1,1,1931
Direct-LICS New Secure Future Term Plan,29,339,LIC (Singapore) Pte Ltd,300000,0,term,65,f,0,36,0,0,0,0,0,2013
DIRECT - AIA Term Cover,30,348,AIA Singapore,300000,0,term,65,f,0,36,1,1,0,1,1,1931
DIRECT - Singlife Term Life,29,359,Singapore Life Ltd.,300000,0,term,65,f,0,36,0,1,1,1,1,2022
DIRECT- TM Basic Term (Level),29,442,Tokio Marine Life Insurance Singapore Ltd,300000,0,term,65,m,1,36,0,0,0,1,0,1923
DIRECT - HSBC Life - Term Lite,30,483,HSBC Life (Singapore) Pte. Ltd.,300000,0,term,65,m,1,36,0,1,0,1,1,2022
DIRECT - Etiqa term life,29,486,Etiqa Insurance Pte. Ltd.,300000,0,term,65,m,1,36,0,0,0,1,0,2007
DIRECT Star Term (non-renewable),29,513,Income Insurance Limited,300000,0,term,65,m,1,36,1,1,1,1,1,1970
DIRECT - China Life Term Plan,29,549,China Life Insurance (Singapore) Pte. Ltd.,300000,0,term,65,m,1,36,0,0,0,1,0,2015
DIRECT - Great Term,29,588,Great Eastern Life,300000,0,term,65,m,1,36,1,1,1,1,1,1908
Direct-LICS New Secure Future Term Plan,29,590,LIC (Singapore) Pte Ltd,300000,0,term,65,m,1,36,0,0,0,0,0,2013
DIRECT - Term Life,29,600,FWD SINGAPORE PTE. LTD.,300000,0,term,65,m,1,36,0,0,0,1,0,2016
DIRECT - Singlife Term Life,29,661,Singapore Life Ltd.,300000,0,term,65,m,1,36,0,1,1,1,1,2022
DIRECT- ManuAssure Term,30,671,Manulife (Singapore) Pte. Ltd.,300000,0,term,65,m,1,36,1,1,0,1,0,1899
DIRECT - Term,29,736,China Taiping Insurance (Singapore) Pte. Ltd.,300000,0,term,65,m,1,36,0,0,0,1,0,2003
DIRECT - PRUprotect term @ 65,29,771,Prudential Assurance Company Singapore (Pte) Limited,300000,0,term,65,m,1,36,1,1,0,1,1,1931
DIRECT - AIA Term Cover,30,915,AIA Singapore,300000,0,term,65,m,1,36,1,1,0,1,1,1931
DIRECT - HSBC Life - Term Lite,30,309,HSBC Life (Singapore) Pte. Ltd.,300000,0,term,65,f,1,36,0,1,0,1,1,2022
DIRECT- TM Basic Term (Level),29,339,Tokio Marine Life Insurance Singapore Ltd,300000,0,term,65,f,1,36,0,0,0,1,0,1923
DIRECT - Term Life,29,375,FWD SINGAPORE PTE. LTD.,300000,0,term,65,f,1,36,0,0,0,1,0,2016
DIRECT Star Term (non-renewable),29,385,Income Insurance Limited,300000,0,term,65,f,1,36,1,1,1,1,1,1970
DIRECT - China Life Term Plan,29,390,China Life Insurance (Singapore) Pte. Ltd.,300000,0,term,65,f,1,36,0,0,0,1,0,2015
DIRECT - Etiqa term life,29,411,Etiqa Insurance Pte. Ltd.,300000,0,term,65,f,1,36,0,0,0,1,0,2007
DIRECT - Great Term,29,434,Great Eastern Life,300000,0,term,65,f,1,36,1,1,1,1,1,1908
DIRECT- ManuAssure Term,30,444,Manulife (Singapore) Pte. Ltd.,300000,0,term,65,f,1,36,1,1,0,1,0,1899
DIRECT - Singlife Term Life,29,459,Singapore Life Ltd.,300000,0,term,65,f,1,36,0,1,1,1,1,2022
Direct-LICS New Secure Future Term Plan,29,460,LIC (Singapore) Pte Ltd,300000,0,term,65,f,1,36,0,0,0,0,0,2013
DIRECT - AIA Term Cover,30,531,AIA Singapore,300000,0,term,65,f,1,36,1,1,0,1,1,1931
DIRECT - PRUprotect term @ 65,29,552,Prudential Assurance Company Singapore (Pte) Limited,300000,0,term,65,f,1,36,1,1,0,1,1,1931
DIRECT - Term,29,595,China Taiping Insurance (Singapore) Pte. Ltd.,300000,0,term,65,f,1,36,0,0,0,1,0,2003
DIRECT - Etiqa term life with CI,29,765,Etiqa Insurance Pte. Ltd.,300000,1,term,65,m,0,36,0,0,0,1,0,2007
DIRECT- TM Basic Term (Level) (+ Critical Illness),29,819,Tokio Marine Life Insurance Singapore Ltd,300000,1,term,65,m,0,36,0,0,0,1,0,1923
DIRECT - HSBC Life - Term Lite and Termcare,30,823,HSBC Life (Singapore) Pte. Ltd.,300000,1,term,65,m,0,36,0,1,0,1,1,2022
DIRECT - Great Term with Optional DIRECT - Great Critical Care,29,874,Great Eastern Life,300000,1,term,65,m,0,36,1,1,1,1,1,1908
DIRECT - Term Life,29,918,FWD SINGAPORE PTE. LTD.,300000,1,term,65,m,0,36,0,0,0,1,0,2016
DIRECT - Term,29,936,China Taiping Insurance (Singapore) Pte. Ltd.,300000,1,term,65,m,0,36,0,0,0,1,0,2003
DIRECT- ManuAssure Term (with CI),30,939,Manulife (Singapore) Pte. Ltd.,300000,1,term,65,m,0,36,1,1,0,1,0,1899
DIRECT Star Term (non-renewable),29,967,Income Insurance Limited,300000,1,term,65,m,0,36,1,1,1,1,1,1970
DIRECT - China Life Term Plan,29,1035,China Life Insurance (Singapore) Pte. Ltd.,300000,1,term,65,m,0,36,0,0,0,1,0,2015
DIRECT - Singlife Term Life,29,1047,Singapore Life Ltd.,300000,1,term,65,m,0,36,0,1,1,1,1,2022
DIRECT - PRUprotect term @ 65,29,1224,Prudential Assurance Company Singapore (Pte) Limited,300000,1,term,65,m,0,36,1,1,0,1,1,1931
DIRECT - AIA Term Cover,30,1383,AIA Singapore,300000,1,term,65,m,0,36,1,1,0,1,1,1931
DIRECT - HSBC Life - Term Lite and Termcare,30,785,HSBC Life (Singapore) Pte. Ltd.,300000,1,term,65,f,0,36,0,1,0,1,1,2022
DIRECT- TM Basic Term (Level) (+ Critical Illness),29,825,Tokio Marine Life Insurance Singapore Ltd,300000,1,term,65,f,0,36,0,0,0,1,0,1923
DIRECT - Term Life,29,837,FWD SINGAPORE PTE. LTD.,300000,1,term,65,f,0,36,0,0,0,1,0,2016
DIRECT - Singlife Term Life,29,916,Singapore Life Ltd.,300000,1,term,65,f,0,36,0,1,1,1,1,2022
DIRECT - Etiqa term life with CI,29,921,Etiqa Insurance Pte. Ltd.,300000,1,term,65,f,0,36,0,0,0,1,0,2007
DIRECT - Great Term with Optional DIRECT - Great Critical Care,29,942,Great Eastern Life,300000,1,term,65,f,0,36,1,1,1,1,1,1908
DIRECT - Term,29,960,China Taiping Insurance (Singapore) Pte. Ltd.,300000,1,term,65,f,0,36,0,0,0,1,0,2003
DIRECT- ManuAssure Term (with CI),30,970,Manulife (Singapore) Pte. Ltd.,300000,1,term,65,f,0,36,1,1,0,1,0,1899
DIRECT - China Life Term Plan,29,1005,China Life Insurance (Singapore) Pte. Ltd.,300000,1,term,65,f,0,36,0,0,0,1,0,2015
DIRECT Star Term (non-renewable),29,1123,Income Insurance Limited,300000,1,term,65,f,0,36,1,1,1,1,1,1970
DIRECT - AIA Term Cover,30,1332,AIA Singapore,300000,1,term,65,f,0,36,1,1,0,1,1,1931
DIRECT - PRUprotect term @ 65,29,1338,Prudential Assurance Company Singapore (Pte) Limited,300000,1,term,65,f,0,36,1,1,0,1,1,1931
DIRECT - HSBC Life - Term Lite and Termcare,30,1233,HSBC Life (Singapore) Pte. Ltd.,300000,1,term,65,m,1,36,0,1,0,1,1,2022
DIRECT - Etiqa term life with CI,29,1248,Etiqa Insurance Pte. Ltd.,300000,1,term,65,m,1,36,0,0,0,1,0,2007
DIRECT - Great Term with Optional DIRECT - Great Critical Care,29,1357,Great Eastern Life,300000,1,term,65,m,1,36,1,1,1,1,1,1908
DIRECT- TM Basic Term (Level) (+ Critical Illness),29,1396,Tokio Marine Life Insurance Singapore Ltd,300000,1,term,65,m,1,36,0,0,0,1,0,1923
DIRECT - Term Life,29,1533,FWD SINGAPORE PTE. LTD.,300000,1,term,65,m,1,36,0,0,0,1,0,2016
DIRECT - China Life Term Plan,29,1572,China Life Insurance (Singapore) Pte. Ltd.,300000,1,term,65,m,1,36,0,0,0,1,0,2015
DIRECT - Singlife Term Life,29,1616,Singapore Life Ltd.,300000,1,term,65,m,1,36,0,1,1,1,1,2022
DIRECT- ManuAssure Term (with CI),30,1738,Manulife (Singapore) Pte. Ltd.,300000,1,term,65,m,1,36,1,1,0,1,0,1899
DIRECT Star Term (non-renewable),29,1801,Income Insurance Limited,300000,1,term,65,m,1,36,1,1,1,1,1,1970
DIRECT - Term,29,1887,China Taiping Insurance (Singapore) Pte. Ltd.,300000,1,term,65,m,1,36,0,0,0,1,0,2003
DIRECT - PRUprotect term @ 65,29,1887,Prudential Assurance Company Singapore (Pte) Limited,300000,1,term,65,m,1,36,1,1,0,1,1,1931
DIRECT - AIA Term Cover,30,2223,AIA Singapore,300000,1,term,65,m,1,36,1,1,0,1,1,1931
DIRECT - HSBC Life - Term Lite and Termcare,30,1155,HSBC Life (Singapore) Pte. Ltd.,300000,1,term,65,f,1,36,0,1,0,1,1,2022
DIRECT - Singlife Term Life,29,1200,Singapore Life Ltd.,300000,1,term,65,f,1,36,0,1,1,1,1,2022
DIRECT - Term Life,29,1212,FWD SINGAPORE PTE. LTD.,300000,1,term,65,f,1,36,0,0,0,1,0,2016
DIRECT- TM Basic Term (Level) (+ Critical Illness),29,1323,Tokio Marine Life Insurance Singapore Ltd,300000,1,term,65,f,1,36,0,0,0,1,0,1923
DIRECT - Etiqa term life with CI,29,1329,Etiqa Insurance Pte. Ltd.,300000,1,term,65,f,1,36,0,0,0,1,0,2007
DIRECT - Great Term with Optional DIRECT - Great Critical Care,29,1338,Great Eastern Life,300000,1,term,65,f,1,36,1,1,1,1,1,1908
DIRECT - China Life Term Plan,29,1584,China Life Insurance (Singapore) Pte. Ltd.,300000,1,term,65,f,1,36,0,0,0,1,0,2015
DIRECT- ManuAssure Term (with CI),30,1595,Manulife (Singapore) Pte. Ltd.,300000,1,term,65,f,1,36,1,1,0,1,0,1899
DIRECT - Term,29,1996,China Taiping Insurance (Singapore) Pte. Ltd.,300000,1,term,65,f,1,36,0,0,0,1,0,2003
DIRECT - AIA Term Cover,30,2007,AIA Singapore,300000,1,term,65,f,1,36,1,1,0,1,1,1931
DIRECT - PRUprotect term @ 65,29,2037,Prudential Assurance Company Singapore (Pte) Limited,300000,1,term,65,f,1,36,1,1,0,1,1,1931
DIRECT Star Term (non-renewable),29,2143,Income Insurance Limited,300000,1,term,65,f,1,36,1,1,1,1,1,1970
DIRECT - Etiqa term life,29,328,Etiqa Insurance Pte. Ltd.,400000,0,term,65,m,0,36,0,0,0,1,0,2007
DIRECT- TM Basic Term (Level),29,335,Tokio Marine Life Insurance Singapore Ltd,400000,0,term,65,m,0,36,0,0,0,1,0,1923
DIRECT - Term,29,368,China Taiping Insurance (Singapore) Pte. Ltd.,400000,0,term,65,m,0,36,0,0,0,1,0,2003
DIRECT Star Term (non-renewable),29,417,Income Insurance Limited,400000,0,term,65,m,0,36,1,1,1,1,1,1970
DIRECT - China Life Term Plan,29,444,China Life Insurance (Singapore) Pte. Ltd.,400000,0,term,65,m,0,36,0,0,0,1,0,2015
DIRECT - HSBC Life - Term Lite,30,454,HSBC Life (Singapore) Pte. Ltd.,400000,0,term,65,m,0,36,0,1,0,1,1,2022
DIRECT - Term Life,29,472,FWD SINGAPORE PTE. LTD.,400000,0,term,65,m,0,36,0,0,0,1,0,2016
DIRECT- ManuAssure Term,30,542,Manulife (Singapore) Pte. Ltd.,400000,0,term,65,m,0,36,1,1,0,1,0,1899
DIRECT - Great Term,29,550,Great Eastern Life,400000,0,term,65,m,0,36,1,1,1,1,1,1908
Direct-LICS New Secure Future Term Plan,29,611,LIC (Singapore) Pte Ltd,400000,0,term,65,m,0,36,0,0,0,0,0,2013
DIRECT - Singlife Term Life,29,614,Singapore Life Ltd.,400000,0,term,65,m,0,36,0,1,1,1,1,2022
DIRECT - PRUprotect term @ 65,29,616,Prudential Assurance Company Singapore (Pte) Limited,400000,0,term,65,m,0,36,1,1,0,1,1,1931
DIRECT - AIA Term Cover,30,680,AIA Singapore,400000,0,term,65,m,0,36,1,1,0,1,1,1931
DIRECT - Term,29,268,China Taiping Insurance (Singapore) Pte. Ltd.,400000,0,term,65,f,0,36,0,0,0,1,0,2003
DIRECT - Etiqa term life,29,268,Etiqa Insurance Pte. Ltd.,400000,0,term,65,f,0,36,0,0,0,1,0,2007
DIRECT- TM Basic Term (Level),29,284,Tokio Marine Life Insurance Singapore Ltd,400000,0,term,65,f,0,36,0,0,0,1,0,1923
DIRECT Star Term (non-renewable),29,297,Income Insurance Limited,400000,0,term,65,f,0,36,1,1,1,1,1,1970
DIRECT - China Life Term Plan,29,312,China Life Insurance (Singapore) Pte. Ltd.,400000,0,term,65,f,0,36,0,0,0,1,0,2015
DIRECT - HSBC Life - Term Lite,30,319,HSBC Life (Singapore) Pte. Ltd.,400000,0,term,65,f,0,36,0,1,0,1,1,2022
DIRECT - Term Life,29,360,FWD SINGAPORE PTE. LTD.,400000,0,term,65,f,0,36,0,0,0,1,0,2016
DIRECT - Great Term,29,410,Great Eastern Life,400000,0,term,65,f,0,36,1,1,1,1,1,1908
DIRECT- ManuAssure Term,30,410,Manulife (Singapore) Pte. Ltd.,400000,0,term,65,f,0,36,1,1,0,1,0,1899
DIRECT - PRUprotect term @ 65,29,448,Prudential Assurance Company Singapore (Pte) Limited,400000,0,term,65,f,0,36,1,1,0,1,1,1931
Direct-LICS New Secure Future Term Plan,29,452,LIC (Singapore) Pte Ltd,400000,0,term,65,f,0,36,0,0,0,0,0,2013
DIRECT - AIA Term Cover,30,464,AIA Singapore,400000,0,term,65,f,0,36,1,1,0,1,1,1931
DIRECT - Singlife Term Life,29,478,Singapore Life Ltd.,400000,0,term,65,f,0,36,0,1,1,1,1,2022
DIRECT- TM Basic Term (Level),29,589,Tokio Marine Life Insurance Singapore Ltd,400000,0,term,65,m,1,36,0,0,0,1,0,1923
DIRECT - Etiqa term life,29,640,Etiqa Insurance Pte. Ltd.,400000,0,term,65,m,1,36,0,0,0,1,0,2007
DIRECT - HSBC Life - Term Lite,30,644,HSBC Life (Singapore) Pte. Ltd.,400000,0,term,65,m,1,36,0,1,0,1,1,2022
DIRECT Star Term (non-renewable),29,684,Income Insurance Limited,400000,0,term,65,m,1,36,1,1,1,1,1,1970
DIRECT - China Life Term Plan,29,712,China Life Insurance (Singapore) Pte. Ltd.,400000,0,term,65,m,1,36,0,0,0,1,0,2015
DIRECT - Great Term,29,784,Great Eastern Life,400000,0,term,65,m,1,36,1,1,1,1,1,1908
